,,,,,,,,,,,,,,,Weekday,Average of SALES,,,,
,,UPPER LIMIT,97.5,76.375,93,43.5,294.375,,,,,,,,1,170.89,,,,
,,LOWER LİMİT,-26.5,-28.625,-35,-8.5,5.375,,,,,,,,2,150.17,,,,
,,IQR,31.0,26.3,32.0,13.0,72.3,,,,,,,,3,144.33,,,,
,,QUARTILE 3,51.0,37.0,45.0,24.0,186.0,,,,,,,,4,140.74,,,,
,,QUARTILE 1,20.00,10.75,13.00,11.00,113.75,,,,,,,,5,153.82,,,,
,,CORRELATION,-3%,0%,-3%,6%,0%,,,,,,,,6,154.39,,,,
,,CV,64%,87%,70%,73%,46%,,,,,,,,7,164.46,,,,
,,ST_DEV,24.42259453,21.87150705,21.38691944,13.9055271,71.26146345,,,,,,,,(blank),,,,,
,,MEDIAN,38.17,24,26,17,138.5,,,,,,,,Grand Total,154.22,,,,
,,AVERAGE,38.17,25.18,30.59,18.98,153.53,,,,,,,,,,,,,
,,MISSING VALUE,0,4,2,4,4,1,2,1,0,0,,,,,,,,
,,COUNT,200,196,198,196,196,,,,,,,,,,,,,
ID,Weekday,DAYS,GoogleAds,Meta,Influencer,TIKTOK,SALES,GoogleAds_,META,Influencer_,TIKTOK_,SALES,,,,,,,,
1,7,3/11/2023,56,38,69,14,236,56,38,69,14,236,164.46,,,,,,,
2,4,3/12/2023,11,39,45,6,122,11,39,45,6,122,,,,,,,,
3,0,3/13/2023,12,46,69,17,96,12,46,69,17,96,,,,,,,,
4,4,3/14/2023,31,41,59,12,197,31,41,59,12,197,,,,,,,,
5,2,3/15/2023,46,11,58,0,137,46,11,58,0,137,,,,,,,,
6,0,3/16/2023,7,49,75,15,86,7,49,75,31,86,,,,,,,,
7,5,3/17/2023,14,33,24,13,123,14,33,24,13,123,,,,,,,,
8,5,3/18/2023,31,20,12,17,152,31,20,12,17,152,,,,,,,,
9,0,3/19/2023,10,2,1,2,54,10,2,1,2,54,,,,,,,,
10,0,3/20/2023,41,3,21,13,119,41,3,21,13,119,,,,,,,,
11,0,3/21/2023,23,6,24,20,95,23,6,24,20,95,,,,,,,,
12,1,3/22/2023,51,24,4,32,152,51,24,4,32,152,,,,,,,,
13,0,3/23/2023,11,35,66,,95,11,35,66,19,95,,,,,,,,
14,0,3/24/2023,27,8,7,,113,27,8,7,19,113,,,,,,,,
15,2,3/25/2023,45,33,46,18,191,45,33,46,18,191,,,,,,,,
16,6,3/26/2023,42,48,53,22,240,42,48,53,22,240,,,,,,,,
17,5,3/27/2023,89,37,94,23,135,89,37,94,23,135,,,,,,,,
18,6,3/28/2023,62,40,56,26,258,62,40,56,26,258,,,,,,,,
19,1,3/29/2023,15,21,18,10,127,15,21,18,10,127,,,,,,,,
20,1,3/30/2023,32,24,19,19,148,32,24,19,19,148,,,,,,,,
21,1,3/31/2023,47,28,53,14,188,47,28,53,14,188,,,,,,,,
22,3,4/1/2023,48,123,24,17,127,48,123,24,17,127,,,,,,,,
23,0,4/2/2023,12,16,50,9,18.98,12,16,50,9,18.98,,,,,,,,
24,6,4/3/2023,50,17,26,21,175,50,17,26,21,175,,,,,,,,
25,0,4/4/2023,20,13,18,5,110,20,13,18,5,110,,,,,,,,
26,7,4/5/2023,60,4,20,20,139,60,4,20,20,139,,,,,,,,
27,1,4/6/2023,39,29,13,24,167,39,29,13,24,167,,,,,,,,
28,7,4/7/2023,49,17,23,23,168,49,17,23,23,168,,,,,,,,
29,7,4/8/2023,53,27,23,29,199,53,27,23,29,199,,,,,,,,
30,4,4/9/2023,15,16,41,19,123,15,16,41,19,123,,,,,,,,
31,7,4/10/2023,60,28,43,26,231,60,28,43,26,231,,,,,,,,
32,4,4/11/2023,93,17,39,37,126,93,17,39,37,126,,,,,,,,
33,0,4/12/2023,20,2,30,18,112,20,2,30,18,112,,,,,,,,
34,3,4/13/2023,61,20,0,36,184,61,20,0,36,184,,,,,,,,
35,0,4/14/2023,24,1,7,7,92,24,1,7,7,92,,,,,,,,
36,1,4/15/2023,62,4,9,28,129,62,4,9,28,129,,,,,,,,
37,6,4/16/2023,56,44,5,47,256,56,44,5,47,256,,,,,,,,
38,6,4/17/2023,25,49,46,14,152,25,49,46,14,152,,,,,,,,
39,0,4/18/2023,15,27,35,4,114,15,27,35,4,114,,,,,,,,
40,2,4/19/2023,54,38,32,29,230,54,38,32,29,230,,,,,,,,
41,2,4/20/2023,46,22,32,19,179,46,22,32,19,179,,,,,,,,
42,1,4/21/2023,40,33,39,19,186,40,33,39,19,186,,,,,,,,
43,3,4/22/2023,68,28,2,42,226,68,28,2,42,226,,,,,,,,
44,5,4/23/2023,51,8,26,14,149,51,8,26,14,149,,,,,,,,
45,0,4/24/2023,12,26,43,18,89,12,26,43,18,89,,,,,,,,
